Manufacturer Code,100px Swatch Tiny,Bigger Swatch,Product Group Name,Manufacturer,Filter - Material,Filter - Colour,Filter - Construction,Filter - Style,Filter - Room,Filter - Suitable For,Manufacturer Colour Name,Available Widths (m),Rug Builder Product Type,Wear Rating,Rug Builder Product?,RRP,Discount (%)
WS118,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WS118.png,,Mississippi,Crucial Trading,Wool,"Beige,Green,Grey",Fine Loop,Striped,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Jade / Cream,4,Material,Class 23 (Heavy Domestic),true,£100.00,1%
WS119,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WS119.png,,Mississippi,Crucial Trading,Wool,"Beige,Grey,Brown,Natural",Fine Loop,Striped,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Sand / Willow,4,Material,Class 23 (Heavy Domestic),true,£100.00,1%
WS120,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WS120.png,,Mississippi,Crucial Trading,Wool,"White,Blue,Grey,Cream",Fine Loop,Striped,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Black / Sapphire,4,Material,Class 23 (Heavy Domestic),true,£100.00,1%
WS140,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WS140.png,,Mississippi,Crucial Trading,Wool,"Grey,Brown,Cream,Yellow",Fine Loop,Striped,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Ginkgo Green,4,Material,Class 23 (Heavy Domestic),true,£100.00,1%
WS142,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WS142.png,,Mississippi,Crucial Trading,Wool,"Grey,Red,White",Fine Loop,Striped,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Warm Clay,4,Material,Class 23 (Heavy Domestic),true,£100.00,1%
WS148,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WS148.png,,Mississippi,Crucial Trading,Wool,"Grey,Brown,Cream",Fine Loop,Striped,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Dark Oil,4,Material,Class 23 (Heavy Domestic),true,£100.00,1%
WS149,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WS149.png,,Mississippi,Crucial Trading,Wool,"Black,Grey,Orange,White,Blue,Red",Fine Loop,Striped,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Indigo Russet,4,Material,Class 23 (Heavy Domestic),true,£100.00,1%
WS157,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WS157.png,,Mississippi,Crucial Trading,Wool,"Brown,Grey,Black,Cream,Blue",Fine Loop,Striped,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Deep Thinking,4,Material,Class 23 (Heavy Domestic),true,£100.00,1%
WS222,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WS222.png,,Mississippi,Crucial Trading,Wool,"Grey,Brown,Cream,Blue",Fine Loop,Striped,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Chai Blue,4,Material,Class 23 (Heavy Domestic),true,£100.00,1%
WS253,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WS253.png,,Mississippi,Crucial Trading,Wool,"Grey,Blue,White",Fine Loop,Striped,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Light Reflection,4,Material,Class 23 (Heavy Domestic),true,£100.00,1%
WS254,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WS254.png,,Mississippi,Crucial Trading,Wool,"Beige,Brown,Grey,White",Fine Loop,Striped,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Parchment,4,Material,Class 23 (Heavy Domestic),true,£100.00,1%
WT500,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WT500.png,,Treasure,Crucial Trading,Wool,"Beige,Cream,Natural",Fine Loop,Flecked,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Sea Salt,"4.00,5.00",Material,Class 23 (Heavy Domestic),true,£113.00,1%
WT501,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WT501.png,,Treasure,Crucial Trading,Wool,"Beige,Natural,Cream",Fine Loop,Flecked,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Soft Shell,"4.00,5.00",Material,Class 23 (Heavy Domestic),true,£113.00,1%
WT502,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WT502.png,,Treasure,Crucial Trading,Wool,"Beige,Cream,Natural",Fine Loop,Flecked,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Old Rope,"4.00,5.00",Material,Class 23 (Heavy Domestic),true,£113.00,1%
WT503,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WT503.png,,Treasure,Crucial Trading,Wool,"Beige,Grey,Green",Fine Loop,Flecked,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Hidden Fossil,"4.00,5.00",Material,Class 23 (Heavy Domestic),true,£113.00,1%
WT504,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/WT504.png,,Treasure,Crucial Trading,Wool,"Beige,Natural,Grey",Fine Loop,Flecked,"Bedroom,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Silver Jewel,"4.00,5.00",Material,Class 23 (Heavy Domestic),true,£113.00,1%
LI8007,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/LI8007.jpg,https://storage.googleapis.com/rug-builder/images/temp/LI8007.jpg,Long Island,Unnatural Flooring,Polypropelene,"Blue,Grey,Black",Flatweave,Accented,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Underfloor Heating,Stairs",Bay,4,Material,Class 32 (Medium Commercial),true,£50.00,1%
LI8008,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/LI8008.jpg,https://storage.googleapis.com/rug-builder/images/temp/LI8008.jpg,Long Island,Unnatural Flooring,Polypropelene,"Beige,Brown,Grey,Natural",Flatweave,Accented,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Underfloor Heating,Stairs",Bear,4,Material,Class 32 (Medium Commercial),true,£50.00,1%
LI8009,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/LI8009.jpg,https://storage.googleapis.com/rug-builder/images/temp/LI8009.jpg,Long Island,Unnatural Flooring,Polypropelene,"Black,Grey",Flatweave,Accented,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Underfloor Heating,Stairs",Bellport,4,Material,Class 32 (Medium Commercial),true,£50.00,1%
MT005,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/MT005.jpg,https://storage.googleapis.com/rug-builder/images/temp/MT005.jpg,Montreal,Unnatural Flooring,Polypropelene,"Beige,Brown,Natural,Black,Orange,Silver",Basketweave,Flecked,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Castor Chairs,Underfloor Heating,Stairs",Bromont,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
MT006,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/MT006.jpg,https://storage.googleapis.com/rug-builder/images/temp/MT006.jpg,Montreal,Unnatural Flooring,Polypropelene,"Silver,Grey,Beige,Brown",Basketweave,Flecked,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Castor Chairs,Underfloor Heating,Stairs",Dorval,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
MT004,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/MT004.jpg,https://storage.googleapis.com/rug-builder/images/temp/MT004.jpg,Montreal,Unnatural Flooring,Polypropelene,"Silver,Grey",Basketweave,Flecked,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Castor Chairs,Underfloor Heating,Stairs",Mirabel,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
MT001,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/MT001.jpg,https://storage.googleapis.com/rug-builder/images/temp/MT001.jpg,Montreal,Unnatural Flooring,Polypropelene,"Grey,Silver",Basketweave,Flecked,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Castor Chairs,Underfloor Heating,Stairs",Roxton Falls,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
MT003,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/MT003.jpg,https://storage.googleapis.com/rug-builder/images/temp/MT003.jpg,Montreal,Unnatural Flooring,Polypropelene,"Brown,Beige,Natural",Basketweave,Flecked,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Castor Chairs,Underfloor Heating,Stairs",Scotstown,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
MT002,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/MT002.jpg,https://storage.googleapis.com/rug-builder/images/temp/MT002.jpg,Montreal,Unnatural Flooring,Polypropelene,"Natural,Brown,Beige,Orange",Basketweave,Flecked,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Castor Chairs,Underfloor Heating,Stairs",Sutton,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
NE6037,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NE6037.jpg,https://storage.googleapis.com/rug-builder/images/temp/NE6037.jpg,New England,Unnatural Flooring,Polypropelene,"Natural,Brown,Beige,Cream",Basketweave,Flecked,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Bleach Cleaning,Underfloor Heating,Stairs",Brookline,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
NE6040,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NE6040.jpg,https://storage.googleapis.com/rug-builder/images/temp/NE6040.jpg,New England,Unnatural Flooring,Polypropelene,"Natural,Brown,Beige",Basketweave,Flecked,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Bleach Cleaning,Underfloor Heating,Stairs",Farmington,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
NE6036,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NE6036.jpg,https://storage.googleapis.com/rug-builder/images/temp/NE6036.jpg,New England,Unnatural Flooring,Polypropelene,"Natural,Brown,Beige",Basketweave,Flecked,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Bleach Cleaning,Underfloor Heating,Stairs",Melrose,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
NE6039,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NE6039.jpg,https://storage.googleapis.com/rug-builder/images/temp/NE6039.jpg,New England,Unnatural Flooring,Polypropelene,"Natural,Brown,Beige",Basketweave,Flecked,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Bleach Cleaning,Underfloor Heating,Stairs",Waterbury,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
NE6023,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NE6023.jpg,https://storage.googleapis.com/rug-builder/images/temp/NE6023.jpg,New England,Unnatural Flooring,Polypropelene,"Natural,Brown,Beige,Cream,White",Fine Loop,Heathered,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Bleach Cleaning,Underfloor Heating,Stairs",Allentown,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
NE6025,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NE6025.jpg,https://storage.googleapis.com/rug-builder/images/temp/NE6025.jpg,New England,Unnatural Flooring,Polypropelene,"Natural,Brown,Beige,Cream",Fine Loop,Heathered,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Bleach Cleaning,Underfloor Heating,Stairs",Augusta,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
NE6008,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NE6008.jpg,https://storage.googleapis.com/rug-builder/images/temp/NE6008.jpg,New England,Unnatural Flooring,Polypropelene,"Cream,Grey,Silver",Ribbed,Flecked,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Bleach Cleaning,Underfloor Heating,Stairs",Boston,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
NE6006,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NE6006.jpg,https://storage.googleapis.com/rug-builder/images/temp/NE6006.jpg,New England,Unnatural Flooring,Polypropelene,"Brown,Beige,Natural",Ribbed,Flecked,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Bleach Cleaning,Underfloor Heating,Stairs",Newport,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
NE6007,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NE6007.jpg,https://storage.googleapis.com/rug-builder/images/temp/NE6007.jpg,New England,Unnatural Flooring,Polypropelene,"Black,Brown,Grey",Ribbed,Flecked,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Bleach Cleaning,Underfloor Heating,Stairs",Providence,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
NE6009,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NE6009.jpg,https://storage.googleapis.com/rug-builder/images/temp/NE6009.jpg,New England,Unnatural Flooring,Polypropelene,"Cream,White",Ribbed,Flecked,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Bleach Cleaning,Underfloor Heating,Stairs",Sebago,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
NE6019,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NE6019.jpg,https://storage.googleapis.com/rug-builder/images/temp/NE6019.jpg,New England,Unnatural Flooring,Polypropelene,"Cream,White,Brown,Silver",Herringbone,Accented,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Bleach Cleaning,Underfloor Heating,Stairs",Bar Harbor,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
NE6021,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NE6021.jpg,https://storage.googleapis.com/rug-builder/images/temp/NE6021.jpg,New England,Unnatural Flooring,Polypropelene,"Brown,Beige,Grey,Cream,Silver",Herringbone,Accented,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Bleach Cleaning,Underfloor Heating,Stairs",Cape Cod,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
NE6038,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NE6038.jpg,https://storage.googleapis.com/rug-builder/images/temp/NE6038.jpg,New England,Unnatural Flooring,Polypropelene,"Natural,Brown,Beige,Cream,White",Herringbone,Accented,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Bleach Cleaning,Underfloor Heating,Stairs",Chicopee,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
NE6041,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NE6041.jpg,https://storage.googleapis.com/rug-builder/images/temp/NE6041.jpg,New England,Unnatural Flooring,Polypropelene,"Natural,Brown,Beige,Black",Herringbone,Accented,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Bleach Cleaning,Underfloor Heating,Stairs",Nashua,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
NE6028,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NE6028.jpg,https://storage.googleapis.com/rug-builder/images/temp/NE6028.jpg,New England,Unnatural Flooring,Polypropelene,"Natural,Brown,Beige,Grey,Cream,White",Herringbone,Accented,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Bleach Cleaning,Underfloor Heating,Stairs",Stockbridge,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
NE6020,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NE6020.jpg,https://storage.googleapis.com/rug-builder/images/temp/NE6020.jpg,New England,Unnatural Flooring,Polypropelene,"White,Cream",Herringbone,Accented,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Bleach Cleaning,Underfloor Heating,Stairs",Sugar Hill,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
NE6027,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NE6027.jpg,https://storage.googleapis.com/rug-builder/images/temp/NE6027.jpg,New England,Unnatural Flooring,Polypropelene,"Natural,Brown,Beige,Cream,Grey,Black",Herringbone,Flecked,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Bleach Cleaning,Underfloor Heating,Stairs",Westville,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
NE6022,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NE6022.jpg,https://storage.googleapis.com/rug-builder/images/temp/NE6022.jpg,New England,Unnatural Flooring,Polypropelene,"Beige,Brown,Natural",Herringbone,Accented,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Bleach Cleaning,Underfloor Heating,Stairs",Woodstock,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
NE6062,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NE6062.jpg,https://storage.googleapis.com/rug-builder/images/temp/NE6062.jpg,New England,Unnatural Flooring,Polypropelene,"Cream,White,Silver,Grey",Flatweave,Plain,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Bleach Cleaning,Underfloor Heating,Stairs",Alexandria,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
NE6072,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NE6072.jpg,https://storage.googleapis.com/rug-builder/images/temp/NE6072.jpg,New England,Unnatural Flooring,Polypropelene,"Natural,Brown,Beige",Ribbed,Flecked,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Bleach Cleaning,Underfloor Heating,Stairs",Amarillo,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
NE6067,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NE6067.jpg,https://storage.googleapis.com/rug-builder/images/temp/NE6067.jpg,New England,Unnatural Flooring,Polypropelene,"White,Grey,Black",Ribbed,Flecked,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Bleach Cleaning,Underfloor Heating,Stairs",Charleston,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
NE6066,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NE6066.jpg,https://storage.googleapis.com/rug-builder/images/temp/NE6066.jpg,New England,Unnatural Flooring,Polypropelene,"White,Cream,Grey",Ribbed,Flecked,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Bleach Cleaning,Underfloor Heating,Stairs",Cooperstown,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
NE6035,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NE6035.jpg,https://storage.googleapis.com/rug-builder/images/temp/NE6035.jpg,New England,Unnatural Flooring,Polypropelene,"Natural,Brown,Beige",Basketweave,Flecked,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Bleach Cleaning,Underfloor Heating,Stairs",Danvers,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
NE6032,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NE6032.jpg,https://storage.googleapis.com/rug-builder/images/temp/NE6032.jpg,New England,Unnatural Flooring,Polypropelene,"Silver,Grey,White",Basketweave,Flecked,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Bleach Cleaning,Underfloor Heating,Stairs",Everett,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
NE6064,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NE6064.jpg,https://storage.googleapis.com/rug-builder/images/temp/NE6064.jpg,New England,Unnatural Flooring,Polypropelene,"Grey,White,Silver",Flatweave,Flecked,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Bleach Cleaning,Underfloor Heating,Stairs",Georgetown,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
NE6034,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NE6034.jpg,https://storage.googleapis.com/rug-builder/images/temp/NE6034.jpg,New England,Unnatural Flooring,Polypropelene,"Natural,Brown,Beige",Basketweave,Flecked,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Bleach Cleaning,Underfloor Heating,Stairs",Haverhill,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
NE6061,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NE6061.jpg,https://storage.googleapis.com/rug-builder/images/temp/NE6061.jpg,New England,Unnatural Flooring,Polypropelene,"Silver,Black",Ribbed,Flecked,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Bleach Cleaning,Underfloor Heating,Stairs",Jackson,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
NE6031,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NE6031.jpg,https://storage.googleapis.com/rug-builder/images/temp/NE6031.jpg,New England,Unnatural Flooring,Polypropelene,"Grey,White",Basketweave,Flecked,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Bleach Cleaning,Underfloor Heating,Stairs",Somerville,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
NE6013,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NE6013.jpg,https://storage.googleapis.com/rug-builder/images/temp/NE6013.jpg,New England,Unnatural Flooring,Polypropelene,"Natural,Brown,Beige",Ribbed,Flecked,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Bleach Cleaning,Underfloor Heating,Stairs",Burlington,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
NE6016,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NE6016.jpg,https://storage.googleapis.com/rug-builder/images/temp/NE6016.jpg,New England,Unnatural Flooring,Polypropelene,"White,Cream,Grey",Flatweave,Plain,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Bleach Cleaning,Underfloor Heating,Stairs",Castine,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
NE6017,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NE6017.jpg,https://storage.googleapis.com/rug-builder/images/temp/NE6017.jpg,New England,Unnatural Flooring,Polypropelene,"Grey,Cream,White,Black",Flatweave,Flecked,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Bleach Cleaning,Underfloor Heating,Stairs",Grafton,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
NE6018,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NE6018.jpg,https://storage.googleapis.com/rug-builder/images/temp/NE6018.jpg,New England,Unnatural Flooring,Polypropelene,"Brown,Beige,Natural",Ribbed,Flecked,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Bleach Cleaning,Underfloor Heating,Stairs",Little Compton,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
NE6014,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NE6014.jpg,https://storage.googleapis.com/rug-builder/images/temp/NE6014.jpg,New England,Unnatural Flooring,Polypropelene,"Black,Brown,Grey",Flatweave,Flecked,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Bleach Cleaning,Underfloor Heating,Stairs",Montawk,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
NE6026,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NE6026.jpg,https://storage.googleapis.com/rug-builder/images/temp/NE6026.jpg,New England,Unnatural Flooring,Polypropelene,"Grey,Brown,Beige,Natural,White",Flatweave,Heathered,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Bleach Cleaning,Underfloor Heating,Stairs",Bridgeport,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
NE6030,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NE6030.jpg,https://storage.googleapis.com/rug-builder/images/temp/NE6030.jpg,New England,Unnatural Flooring,Polypropelene,"Natural,Beige,White,Grey",Flatweave,Heathered,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Bleach Cleaning,Underfloor Heating,Stairs",Brockton,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
NE6005,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NE6005.jpg,https://storage.googleapis.com/rug-builder/images/temp/NE6005.jpg,New England,Unnatural Flooring,Polypropelene,"Natural,Beige,White,Grey",Ribbed,Flecked,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Bleach Cleaning,Underfloor Heating,Stairs",Brunswick,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
NE6033,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NE6033.jpg,https://storage.googleapis.com/rug-builder/images/temp/NE6033.jpg,New England,Unnatural Flooring,Polypropelene,"Natural,Beige,White,Brown",Flatweave,Flecked,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Bleach Cleaning,Underfloor Heating,Stairs",Danbury,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
NE6011,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NE6011.jpg,https://storage.googleapis.com/rug-builder/images/temp/NE6011.jpg,New England,Unnatural Flooring,Polypropelene,White,Ribbed,Plain,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Bleach Cleaning,Underfloor Heating,Stairs",Hampton,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
NE6004,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NE6004.jpg,https://storage.googleapis.com/rug-builder/images/temp/NE6004.jpg,New England,Unnatural Flooring,Polypropelene,"Black,Grey,White",Flatweave,Accented,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Bleach Cleaning,Underfloor Heating,Stairs",Nantucket,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
